term_code,term,course_id,course_number,professor,total_students,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,A_count,B_count,C_count,D_count,F_count,avg_gpa
201801,Fall 2018,CIS 111,111,"Hennessy, Michael Shane",104,2,27,5,4,34,8,4,14,3,1,1,0,1,34,46,21,2,1,3.038
201801,Fall 2018,CIS 122,122,"Colbert, Phillip Dean",137,44,31,7,7,15,5,0,11,2,3,2,2,8,82,27,13,7,8,3.213
201801,Fall 2018,CIS 199,199,"Wilkins, David A",31,0,15,5,4,2,2,1,2,0,0,0,0,0,20,8,3,0,0,3.529
201801,Fall 2018,CIS 210,210,"Freeman Hennessy, Kathleen",143,2,25,6,12,27,22,7,16,4,1,7,1,13,33,61,27,9,13,2.616
201801,Fall 2018,CIS 212,212,"Childs, Henry Roberts",69,11,11,13,2,6,6,1,4,4,0,4,0,7,35,14,9,4,7,2.87
201801,Fall 2018,CIS 313,313,"Wilson, Christopher",81,4,18,11,6,15,6,3,5,7,0,4,0,2,33,27,15,4,2,2.994
201801,Fall 2018,CIS 314,314,"Wills, Eric David",77,5,19,13,9,9,6,8,0,6,0,0,0,2,37,24,14,0,2,3.19
201801,Fall 2018,CIS 322,322,"Durairajan, Ramakrishnan",35,1,2,3,4,1,9,3,2,3,1,1,3,2,6,14,8,5,2,2.4
201801,Fall 2018,CIS 415,415,"Malony, Allen",30,0,2,5,3,4,3,2,3,4,2,2,0,0,7,10,9,4,0,2.617
201801,Fall 2018,CIS 422,422,"Sventek, Joseph Sherman",33,0,4,10,9,4,4,2,0,0,0,0,0,0,14,17,2,0,0,3.336
201801,Fall 2018,CIS 425,425,"Ariola, Zena",55,0,2,2,8,5,3,11,9,7,0,5,0,3,4,16,27,5,3,2.275
201801,Fall 2018,CIS 432,432,"Li, Jun",19,1,0,4,3,9,1,1,0,0,0,0,0,0,5,13,1,0,0,3.195
201801,Fall 2018,CIS 443,443,"Hornof, Anthony J",9,0,0,1,3,2,1,1,1,0,0,0,0,0,1,6,2,0,0,2.956
201801,Fall 2018,CIS 451,451,"Wilson, Christopher",41,1,23,12,4,0,1,0,0,0,0,0,0,0,36,5,0,0,0,3.812
201801,Fall 2018,CIS 471,471,"Dou, Dejing",34,2,9,5,9,3,2,2,1,0,0,0,0,1,16,14,3,0,1,3.329
201801,Fall 2018,CIS 571,571,"Dou, Dejing",11,2,3,0,1,4,1,0,0,0,0,0,0,0,5,6,0,0,0,3.455
201801,Fall 2018,CIS 624,624,"Norris, Boyana Radenska",15,1,8,3,0,3,0,0,0,0,0,0,0,0,12,3,0,0,0,3.74
201802,Winter 2019,CIS 110,110,"Hennessy, Michael Shane",177,14,47,9,14,41,13,10,16,5,0,2,1,5,70,68,31,3,5,3.095
201802,Winter 2019,CIS 111,111,"Hennessy, Michael Shane",123,13,37,8,10,20,7,3,14,5,1,2,0,3,58,37,22,3,3,3.156
201802,Winter 2019,CIS 122,122,"Colbert, Phillip Dean",124,9,38,7,8,16,5,5,13,4,2,3,4,10,54,29,22,9,10,2.859
201802,Winter 2019,CIS 199,199,"Wilkins, David A",14,0,3,1,2,3,3,1,0,0,0,0,0,1,4,8,1,0,1,2.979
201802,Winter 2019,CIS 210,210,"Freeman Hennessy, Kathleen",118,1,16,7,7,22,11,7,21,4,3,4,0,15,24,40,32,7,15,2.419
201802,Winter 2019,CIS 211,211,"Young, Michal Terry",96,3,17,4,24,14,6,0,18,0,0,5,0,5,24,44,18,5,5,2.846
201802,Winter 2019,CIS 313,313,"Nguyen, Thien Huu",53,2,6,7,21,13,3,1,0,0,0,0,0,0,15,37,1,0,0,3.332
201802,Winter 2019,CIS 314,314,"Wills, Eric David",58,3,9,10,4,9,10,1,7,2,0,0,0,3,22,23,10,0,3,2.964
201802,Winter 2019,CIS 315,315,"Wilson, Christopher",56,3,9,2,2,15,9,8,1,6,0,0,0,1,14,26,15,0,1,2.891
201802,Winter 2019,CIS 330,330,"Norris, Boyana Radenska",70,11,20,7,11,7,2,0,4,3,0,0,1,4,38,20,7,1,4,3.234
201802,Winter 2019,CIS 399,399,"Fickas, Stephen F",22,8,2,0,1,0,2,1,5,0,0,3,0,0,10,3,6,3,0,2.909
201802,Winter 2019,CIS 410,410,"Rejaie, Reza",14,2,0,1,4,2,2,0,1,0,1,0,1,0,3,8,1,2,0,2.879
201802,Winter 2019,CIS 422,422,"Hornof, Anthony J",35,1,3,1,5,7,5,5,4,2,0,1,0,1,5,17,11,1,1,2.703
201802,Winter 2019,CIS 431,431,"Malony, Allen",13,0,4,1,4,1,0,2,0,1,0,0,0,0,5,5,3,0,0,3.246
201802,Winter 2019,CIS 433,433,"Howell, Leo Foster",40,2,11,14,11,0,2,0,0,0,0,0,0,0,27,13,0,0,0,3.638
201802,Winter 2019,CIS 441,441,"Childs, Henry Roberts",56,11,25,0,9,6,0,1,3,0,0,0,0,1,36,15,4,0,1,3.571
201802,Winter 2019,CIS 471,471,"Nguyen, Thanh Hong",20,0,6,5,4,2,2,0,0,1,0,0,0,0,11,8,1,0,0,3.44
201802,Winter 2019,CIS 621,621,"Jiao, Lei",11,1,2,4,1,3,0,0,0,0,0,0,0,0,7,4,0,0,0,3.555
201803,Spring 2019,CIS 110,110,"Colbert, Phillip Dean",135,9,80,14,7,8,3,1,2,5,1,0,1,4,103,18,8,2,4,3.554
201803,Spring 2019,CIS 111,111,"Little, Ronald Kent",98,12,18,9,1,22,10,5,10,2,1,4,0,4,39,33,17,5,4,2.957
201803,Spring 2019,CIS 122,122,"Wilkins, David A",136,0,60,12,9,12,9,0,12,7,1,4,3,7,72,30,19,8,7,3.071
201803,Spring 2019,CIS 211,211,"Young, Michal Terry",87,4,16,3,10,15,3,0,24,5,0,1,0,6,23,28,29,1,6,2.698
201803,Spring 2019,CIS 212,212,"Sventek, Joseph Sherman",74,20,18,10,7,6,5,2,2,1,0,1,0,2,48,18,5,1,2,3.445
201803,Spring 2019,CIS 315,315,"Wilson, Christopher",57,2,14,4,5,13,5,4,5,1,0,2,0,2,20,23,10,2,2,2.995
201803,Spring 2019,CIS 322,322,"Durairajan, Ramakrishnan",24,2,1,3,1,4,3,3,0,2,0,1,2,2,6,8,5,3,2,2.467
201803,Spring 2019,CIS 330,330,"Choi, Jee Whan",55,0,2,5,9,4,8,9,5,5,2,1,1,4,7,21,19,4,4,2.424
201803,Spring 2019,CIS 399,399,"Fickas, Stephen F",6,0,3,1,0,0,2,0,0,0,0,0,0,0,4,2,0,0,0,3.517
201803,Spring 2019,CIS 410,410,"Wills, Eric David",52,3,20,11,8,5,0,3,0,1,0,0,0,1,34,13,4,0,1,3.513
201803,Spring 2019,CIS 415,415,"Malony, Allen",57,0,7,8,5,13,5,3,6,2,2,3,0,3,15,23,11,5,3,2.711
201803,Spring 2019,CIS 422,422,"Hornof, Anthony J",25,0,4,3,2,7,5,3,1,0,0,0,0,0,7,14,4,0,0,3.084
201803,Spring 2019,CIS 425,425,"Ariola, Zena",52,0,6,0,7,11,0,8,6,6,0,5,0,3,6,18,20,5,3,2.417
201803,Spring 2019,CIS 453,453,"Dou, Dejing",13,2,0,4,4,2,0,0,0,0,1,0,0,0,6,6,0,1,0,3.331
201803,Spring 2019,CIS 472,472,"Nguyen, Thien Huu",30,0,5,0,4,3,9,0,4,4,0,0,0,1,5,16,8,0,1,2.71
