course_id,course_number,total_students,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,A_count,B_count,C_count,D_count,F_count,avg_gpa
CS 429,429,34,2,12,7,5,6,0,1,1,0,0,0,0,0,21,11,2,0,0,3.55
CS 431,431,15,0,2,2,1,3,3,0,2,0,0,0,0,2,4,7,2,0,2,2.653
CS 432,432,78,1,6,14,8,9,9,8,7,3,2,1,2,8,21,26,18,5,8,2.564
CS 433,433,109,2,28,43,22,9,4,0,1,0,0,0,0,0,73,35,1,0,0,3.592
CS 436,436,31,1,5,7,6,3,4,1,2,2,0,0,0,0,13,13,5,0,0,3.2
CS 441,441,43,8,22,2,3,4,0,0,0,2,0,1,0,1,32,7,2,1,1,3.574
CS 443,443,42,1,8,8,6,6,4,3,3,0,0,2,0,1,17,16,6,2,1,3.074
CS 445,445,20,2,4,1,2,0,2,3,2,0,0,0,0,4,7,4,5,0,4,2.53
CS 451,451,109,5,50,9,11,17,7,7,0,0,0,2,0,1,64,35,7,2,1,3.464
CS 453,453,21,2,14,5,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,3.929
CS 471,471,98,0,25,27,16,17,7,5,0,0,1,0,0,0,52,40,5,1,0,3.422
CS 472,472,110,18,21,21,15,19,5,4,2,0,0,0,0,5,60,39,6,0,5,3.335
CS 510,510,25,5,8,8,2,0,2,0,0,0,0,0,0,0,21,4,0,0,0,3.744
CS 513,513,9,3,1,1,1,2,1,0,0,0,0,0,0,0,5,4,0,0,0,3.522
CS 531,531,10,2,2,2,2,0,1,1,0,0,0,0,0,0,6,3,1,0,0,3.5
CS 532,532,12,3,2,1,2,3,0,1,0,0,0,0,0,0,6,5,1,0,0,3.467
CS 533,533,18,1,7,9,1,0,0,0,0,0,0,0,0,0,17,1,0,0,0,3.811
CS 541,541,11,4,3,1,1,1,0,0,0,0,0,1,0,0,8,2,0,1,0,3.545
CS 551,551,31,1,16,2,4,4,0,3,0,0,0,0,0,1,19,8,3,0,1,3.468
CS 571,571,27,0,10,9,5,1,0,0,1,0,0,0,0,1,19,6,1,0,1,3.511
CS 572,572,28,5,8,3,4,6,1,0,0,0,0,0,0,1,16,11,0,0,1,3.464
CS 573,573,12,0,3,2,1,3,1,0,2,0,0,0,0,0,5,5,2,0,0,3.2
CS 607,607,12,0,6,1,1,0,1,0,1,0,0,0,0,2,7,2,1,0,2,2.975
CS 621,621,59,7,11,9,12,6,6,3,2,1,0,1,0,1,27,24,6,1,1,3.266
CS 630,630,33,3,8,10,4,6,0,0,0,0,0,1,0,1,21,10,0,1,1,3.43
CS 631,631,20,0,8,5,2,4,0,0,1,0,0,0,0,0,13,6,1,0,0,3.555
CS 632,632,10,2,1,1,3,0,0,0,2,0,0,0,0,1,4,3,2,0,1,2.96
CS 670,670,59,2,22,13,7,9,4,0,0,0,0,0,0,2,37,20,0,0,2,3.475
