CIS,102,29,6,11,5,0,3,2.54

CIS,105,67,49,6,1,0,3,3.65

CIS,110,3932,1764,1066,442,73,97,3.23

CIS,111,3005,1128,800,416,71,124,3.05

CIS,115,226,71,59,26,10,7,2.99

CIS,122,2995,1351,692,339,99,132,3.13

CIS,199,546,219,66,14,3,7,3.56

CIS,210,1993,587,603,344,125,138,2.75

CIS,211,1350,581,360,208,40,50,3.09

CIS,212,1223,478,393,135,71,72,2.96

CIS,313,924,303,383,186,25,15,3.01

CIS,314,903,398,337,108,16,39,3.12

CIS,315,821,307,318,139,18,27,3.04

CIS,322,350,109,94,52,28,16,2.8

CIS,330,794,318,243,131,26,62,2.93

CIS,333,31,11,10,4,0,1,3.12

CIS,399,457,200,116,54,14,17,3.13

CIS,410,738,355,153,38,5,5,3.5

CIS,413,110,42,33,10,2,5,3.11

CIS,415,687,177,272,147,26,14,2.88

CIS,420,115,42,40,15,3,1,3.16

CIS,422,640,256,274,81,6,11,3.2

CIS,423,56,24,10,2,0,0,3.55

CIS,425,745,166,283,185,53,27,2.7

CIS,427,39,5,15,1,0,0,3.23

CIS,429,32,7,4,2,2,0,3.01

CIS,431,51,15,20,9,0,0,3.11

CIS,432,161,32,75,28,4,4,2.87

CIS,433,216,103,97,3,2,2,3.42

CIS,436,29,17,9,0,0,1,3.45

CIS,441,116,74,26,9,0,5,3.45

CIS,443,93,24,37,20,1,2,2.93

CIS,445,48,2,7,1,1,1,2.62

CIS,451,282,192,66,10,1,0,3.65

CIS,452,17,12,5,0,0,0,3.69

CIS,453,57,24,18,2,2,0,3.45

CIS,454,26,17,1,1,0,0,3.81

CIS,471,267,117,108,14,7,2,3.34

CIS,472,218,82,73,23,3,7,3.14

CIS,473,71,16,30,15,1,4,2.8

CIS,490,31,11,16,0,0,0,3.45

CIS,510,219,19,6,2,0,0,3.59

CIS,531,23,11,3,0,0,1,3.49

CIS,533,36,6,4,0,0,1,3.3

CIS,561,33,11,5,0,0,0,3.65

CIS,571,98,38,29,4,0,1,3.43

CIS,572,129,71,31,4,1,2,3.5

CIS,573,28,8,5,0,0,0,3.52

CIS,610,89,19,5,1,0,0,3.67

CIS,621,129,86,33,0,0,0,3.67

CIS,624,100,79,11,1,0,0,3.83

CIS,630,98,31,48,5,2,0,3.17

CIS,631,51,18,21,2,1,0,3.33

CIS,650,27,27,0,0,0,0,3.93

CIS,670,65,44,7,1,0,3,3.56
