course_id,course_number,total_students,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,A_count,B_count,C_count,D_count,F_count,avg_gpa
J 480,480,992,98,380,245,131,78,28,17,9,0,1,3,0,2,723,237,26,4,2,3.651
J 482,482,17,10,3,0,2,0,1,0,0,0,0,1,0,0,13,3,0,1,0,3.665
J 483,483,119,0,24,37,31,21,2,2,0,1,0,0,0,1,61,54,3,0,1,3.445
J 494,494,2250,453,613,448,343,227,76,39,28,5,5,4,0,9,1514,646,72,9,9,3.602
J 495,495,74,7,15,17,12,16,3,0,3,1,0,0,0,0,39,31,4,0,0,3.436
J 496,496,694,113,201,73,52,119,41,25,33,3,4,6,4,20,387,212,61,14,20,3.326
J 508,508,141,0,31,53,29,17,5,4,1,0,1,0,0,0,84,51,5,1,0,3.495
J 557,557,21,0,11,5,4,1,0,0,0,0,0,0,0,0,16,5,0,0,0,3.748
J 560,560,55,26,21,3,3,1,0,0,1,0,0,0,0,0,50,4,1,0,0,3.891
J 561,561,45,0,12,16,12,5,0,0,0,0,0,0,0,0,28,17,0,0,0,3.596
J 562,562,71,2,21,22,9,6,5,2,2,0,0,2,0,0,45,20,4,2,0,3.454
J 563,563,73,2,19,27,11,9,4,1,0,0,0,0,0,0,48,24,1,0,0,3.566
J 580,580,23,10,9,1,1,2,0,0,0,0,0,0,0,0,20,3,0,0,0,3.87
J 583,583,11,1,3,5,0,2,0,0,0,0,0,0,0,0,9,2,0,0,0,3.682
J 594,594,15,4,6,4,1,0,0,0,0,0,0,0,0,0,14,1,0,0,0,3.873
J 607,607,193,65,97,23,3,3,1,0,1,0,0,0,0,0,185,7,1,0,0,3.921
J 608,608,10,0,2,0,3,3,2,0,0,0,0,0,0,0,2,8,0,0,0,3.23
J 610,610,195,27,89,43,17,8,7,0,2,0,0,0,1,1,159,32,2,1,1,3.727
J 611,611,358,44,162,69,46,28,6,1,1,1,0,0,0,0,275,80,3,0,0,3.735
J 612,612,28,2,11,9,5,0,1,0,0,0,0,0,0,0,22,6,0,0,0,3.732
J 613,613,19,0,11,7,0,1,0,0,0,0,0,0,0,0,18,1,0,0,0,3.837
J 614,614,15,0,9,5,0,1,0,0,0,0,0,0,0,0,14,1,0,0,0,3.833
J 616,616,81,37,41,2,0,0,0,0,1,0,0,0,0,0,80,0,1,0,0,3.968
J 618,618,22,7,4,4,4,2,0,0,1,0,0,0,0,0,15,6,1,0,0,3.636
J 621,621,80,2,34,18,13,10,3,0,0,0,0,0,0,0,54,26,0,0,0,3.645
J 623,623,27,0,12,5,6,1,2,0,1,0,0,0,0,0,17,9,1,0,0,3.581
J 624,624,162,13,61,51,19,12,0,4,0,1,0,0,0,1,125,31,5,0,1,3.669
J 626,626,37,0,12,25,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,3.797
J 627,627,12,0,6,4,2,0,0,0,0,0,0,0,0,0,10,2,0,0,0,3.783
J 628,628,10,0,2,4,2,2,0,0,0,0,0,0,0,0,6,4,0,0,0,3.54
J 629,629,29,4,14,5,0,4,1,0,1,0,0,0,0,0,23,5,1,0,0,3.697
J 641,641,81,6,39,26,8,1,1,0,0,0,0,0,0,0,71,10,0,0,0,3.806
J 642,642,107,6,53,30,6,6,5,1,0,0,0,0,0,0,89,17,1,0,0,3.744
J 646,646,10,0,4,5,0,0,0,0,1,0,0,0,0,0,9,0,1,0,0,3.65
J 654,654,24,6,13,4,1,0,0,0,0,0,0,0,0,0,23,1,0,0,0,3.921
J 656,656,24,1,10,10,1,2,0,0,0,0,0,0,0,0,21,3,0,0,0,3.762
J 664,664,17,4,9,1,1,0,0,0,0,2,0,0,0,0,14,1,2,0,0,3.671
J 669,669,13,2,3,1,3,1,2,0,1,0,0,0,0,0,6,6,1,0,0,3.385
JCOM 101,101,1020,392,202,133,80,72,44,13,18,15,5,8,2,36,727,196,46,15,36,3.504
JCOM 185M,185M,27,0,18,2,0,2,0,1,1,0,0,1,0,2,20,2,2,1,2,3.359
JCOM 201,201,1942,167,615,404,224,188,125,73,38,23,14,11,12,48,1186,537,134,37,48,3.39
JCOM 202,202,811,99,284,140,101,88,56,14,12,5,2,4,0,6,523,245,31,6,6,3.539
JCOM 220,220,47,9,20,9,5,1,2,0,0,0,0,0,0,1,38,8,0,0,1,3.706
JCOM 241,241,46,0,5,9,9,7,7,6,0,1,0,1,0,1,14,23,7,1,1,3.03
JCOM 280,280,202,25,27,40,30,20,16,13,5,8,1,4,1,12,92,66,26,6,12,3.058
JCOM 299,299,39,0,3,7,5,3,7,4,1,1,0,0,1,7,10,15,6,1,7,2.459
JCOM 301,301,880,177,196,189,91,96,57,30,20,11,2,3,1,7,562,244,61,6,7,3.486
JCOM 302,302,890,159,470,119,52,28,21,15,7,4,4,3,1,7,748,101,26,8,7,3.745
JCOM 303,303,743,57,416,54,51,108,17,13,21,0,1,0,1,4,527,176,34,2,4,3.639
JCOM 305,305,544,30,244,93,60,84,14,6,6,2,0,2,0,3,367,158,14,2,3,3.601
JCOM 306,306,402,0,96,173,46,29,22,13,6,4,2,1,0,10,269,97,23,3,10,3.419
JCOM 311,311,166,10,65,28,17,22,10,7,5,0,0,0,0,2,103,49,12,0,2,3.487
JCOM 312,312,13,0,0,5,2,1,4,0,1,0,0,0,0,0,5,7,1,0,0,3.146
JCOM 314,314,28,0,2,9,14,3,0,0,0,0,0,0,0,0,11,17,0,0,0,3.446
JCOM 315,315,25,2,8,12,2,0,0,0,0,0,0,0,0,1,22,2,0,0,1,3.64
JCOM 316,316,27,1,0,8,10,4,3,1,0,0,0,0,0,0,9,17,1,0,0,3.296
JCOM 318,318,26,5,8,4,5,3,1,0,0,0,0,0,0,0,17,9,0,0,0,3.654
