course_id,course_number,total_students,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,A_count,B_count,C_count,D_count,F_count,avg_gpa
BI 320,320,1765,112,468,196,160,308,132,72,153,95,9,26,7,27,776,600,320,42,27,3.133
BI 322,322,1483,147,273,263,211,290,123,74,49,20,10,13,2,8,683,624,143,25,8,3.291
BI 326,326,232,10,52,42,26,30,31,14,12,9,2,0,0,4,104,87,35,2,4,3.177
BI 328,328,585,58,99,108,83,87,52,32,21,29,2,6,1,7,265,222,82,9,7,3.209
BI 330,330,1008,61,292,173,139,130,83,47,41,14,5,8,5,10,526,352,102,18,10,3.33
BI 331,331,778,10,142,159,167,174,71,18,27,7,0,2,0,1,311,412,52,2,1,3.304
BI 353,353,336,20,41,31,45,54,34,25,35,31,3,7,2,8,92,133,91,12,8,2.838
BI 356,356,217,9,35,41,34,55,15,9,16,2,0,1,0,0,85,104,27,1,0,3.237
BI 357,357,670,21,260,97,80,121,34,23,18,6,3,3,0,4,378,235,47,6,4,3.444
BI 358,358,623,11,110,154,137,108,54,24,12,7,5,0,1,0,275,299,43,6,0,3.329
BI 359,359,571,19,130,53,57,86,53,42,43,47,4,16,0,21,202,196,132,20,21,2.916
BI 360,360,1189,49,157,220,199,225,133,88,58,28,12,4,2,14,426,557,174,18,14,3.125
BI 370,370,546,17,179,41,49,130,43,22,47,9,1,7,0,1,237,222,78,8,1,3.245
BI 372,372,38,4,13,5,5,6,0,0,2,2,0,0,0,1,22,11,4,0,1,3.379
BI 374,374,537,62,120,89,82,82,35,27,23,9,1,4,0,3,271,199,59,5,3,3.347
BI 375,375,63,0,14,20,17,7,1,3,0,1,0,0,0,0,34,25,4,0,0,3.467
BI 380,380,920,46,134,150,136,160,100,76,64,29,3,9,1,12,330,396,169,13,12,3.086
BI 390,390,928,34,184,220,137,132,87,45,41,21,7,5,2,13,438,356,107,14,13,3.239
BI 395,395,120,0,53,15,13,22,9,2,3,1,1,0,0,1,68,44,6,1,1,3.452
BI 399,399,343,18,84,63,50,51,30,12,13,10,2,4,0,6,165,131,35,6,6,3.257
BI 399L,399L,168,35,16,27,18,17,13,15,6,8,1,6,3,3,78,48,29,10,3,3.089
BI 408,408,61,19,31,8,2,0,0,0,0,0,0,0,0,1,58,2,0,0,1,3.872
BI 410,410,1586,220,592,253,170,161,81,26,29,19,2,10,0,23,1065,412,74,12,23,3.537
BI 410L,410L,165,18,69,18,19,16,3,3,6,3,0,2,0,8,105,38,12,2,8,3.39
BI 421,421,10,2,4,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3.88
BI 422,422,317,20,67,88,58,56,19,2,3,1,0,0,0,3,175,133,6,0,3,3.459
BI 423,423,104,12,43,20,10,8,5,1,3,1,0,1,0,0,75,23,5,1,0,3.611
BI 424,424,55,6,11,10,11,7,5,1,2,2,0,0,0,0,27,23,5,0,0,3.373
BI 425,425,10,1,3,0,4,2,0,0,0,0,0,0,0,0,4,6,0,0,0,3.52
BI 426,426,248,13,46,37,44,43,16,12,15,18,0,1,0,3,96,103,45,1,3,3.143
BI 427,427,152,1,85,20,9,26,9,1,0,0,0,0,0,1,106,44,1,0,1,3.634
BI 428,428,15,1,2,4,6,1,1,0,0,0,0,0,0,0,7,8,0,0,0,3.487
BI 430,430,15,6,5,2,0,2,0,0,0,0,0,0,0,0,13,2,0,0,0,3.827
BI 432,432,116,2,33,28,6,31,2,1,9,1,0,1,0,2,63,39,11,1,2,3.317
BI 433,433,216,10,72,60,34,20,11,6,2,1,0,0,0,0,142,65,9,0,0,3.571
BI 442,442,164,14,47,15,13,34,11,4,21,1,0,3,0,1,76,58,26,3,1,3.232
BI 448,448,193,16,72,24,13,37,9,6,10,4,1,0,0,1,112,59,20,1,1,3.424
BI 451,451,300,21,94,42,40,59,24,4,11,3,0,2,0,0,157,123,18,2,0,3.425
BI 452,452,64,8,17,17,9,9,1,2,0,0,0,0,0,1,42,19,2,0,1,3.545
BI 454,454,124,2,29,24,25,20,13,4,4,3,0,0,0,0,55,58,11,0,0,3.328
BI 455,455,124,3,50,40,21,7,1,1,1,0,0,0,0,0,93,29,2,0,0,3.688
BI 457,457,668,122,188,134,92,76,19,15,4,8,2,4,3,1,444,187,27,9,1,3.568
BI 458,458,117,0,26,42,27,13,5,1,1,0,0,0,0,2,68,45,2,0,2,3.464
BI 461,461,91,9,7,16,13,12,15,7,4,4,1,0,0,3,32,40,15,1,3,3.02
BI 463,463,115,5,27,26,22,24,3,2,5,0,0,0,0,1,58,49,7,0,1,3.404
BI 464,464,20,2,10,1,1,6,0,0,0,0,0,0,0,0,13,7,0,0,0,3.65
BI 466,466,35,0,14,11,5,3,0,0,1,1,0,0,0,0,25,8,2,0,0,3.597
BI 468,468,92,4,20,18,5,22,5,3,7,7,0,0,0,1,42,32,17,0,1,3.167
BI 471,471,65,15,24,8,8,3,2,1,2,1,0,0,0,1,47,13,4,0,1,3.606
BI 472,472,36,0,10,17,6,2,1,0,0,0,0,0,0,0,27,9,0,0,0,3.65
BI 474,474,119,41,53,11,9,5,0,0,0,0,0,0,0,0,105,14,0,0,0,3.877
BI 476,476,21,0,4,2,6,2,4,1,0,2,0,0,0,0,6,12,3,0,0,3.129
BI 484,484,133,25,53,22,14,12,3,2,1,0,0,0,0,1,100,29,3,0,1,3.686
BI 485,485,36,8,4,7,1,7,1,2,3,3,0,0,0,0,19,9,8,0,0,3.239
BI 486,486,20,0,0,2,1,3,6,2,4,0,0,2,0,0,2,10,6,2,0,2.525
BI 488,488,94,0,15,7,17,18,17,7,5,7,0,0,0,1,22,52,19,0,1,2.978
BI 493,493,45,1,24,10,6,2,2,0,0,0,0,0,0,0,35,10,0,0,0,3.738
BI 610,610,645,59,303,129,74,64,12,0,2,0,0,1,0,1,491,150,2,1,1,3.719
BI 620,620,98,21,44,19,3,5,4,1,1,0,0,0,0,0,84,12,2,0,0,3.779
BI 621,621,184,6,113,38,14,11,1,0,1,0,0,0,0,0,157,26,1,0,0,3.807
BI 622,622,114,1,67,30,11,3,1,1,0,0,0,0,0,0,98,15,1,0,0,3.801
BI 623,623,92,5,50,25,5,6,1,0,0,0,0,0,0,0,80,12,0,0,0,3.801
BI 624,624,22,0,16,4,2,0,0,0,0,0,0,0,0,0,20,2,0,0,0,3.882
BIOE 251,251,42,14,15,4,2,3,2,0,1,0,0,1,0,0,33,7,1,1,0,3.686
BIOE 252,252,37,2,10,5,5,8,2,3,1,0,0,0,0,1,17,15,4,0,1,3.278
BIOE 253,253,44,8,22,3,2,6,1,0,0,0,0,2,0,0,33,9,0,2,0,3.645
BIOE 399,399,10,4,3,2,1,0,0,0,0,0,0,0,0,0,9,1,0,0,0,3.87
BIOE 410,410,44,6,18,6,5,3,0,0,2,0,1,1,0,2,30,8,2,2,2,3.409
BIOE 510,510,13,7,6,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4.0
BIOE 610,610,74,13,39,15,6,1,0,0,0,0,0,0,0,0,67,7,0,0,0,3.869
BLST 141,141,70,7,44,6,8,3,1,0,0,0,0,0,0,1,57,12,0,0,1,3.776
BRIN 221,221,11,5,2,1,1,1,0,0,0,0,0,0,0,1,8,2,0,0,1,3.455
CAS 101H,101H,146,9,55,26,11,27,5,3,3,1,0,3,0,3,90,43,7,3,3,3.429
CAS 407,407,131,25,60,17,5,12,1,0,7,0,0,0,0,4,102,18,7,0,4,3.604
CAS 410,410,92,58,9,4,5,6,1,1,1,0,1,1,5,0,71,12,2,7,0,3.588
CAS 417,417,462,47,129,53,28,54,27,24,21,13,7,14,11,34,229,109,58,32,34,2.982
CDS 201,201,893,0,258,166,136,138,75,38,29,14,8,9,1,21,424,349,81,18,21,3.248
CDS 442,442,690,2,131,90,78,94,73,50,51,49,14,14,10,34,223,245,150,38,34,2.813
CDS 443,443,147,0,35,49,26,15,12,6,2,1,0,1,0,0,84,53,9,1,0,3.435
CDS 444,444,599,5,238,121,86,54,33,23,14,6,6,6,2,5,364,173,43,14,5,3.441
CDS 446,446,51,0,45,0,0,5,0,0,1,0,0,0,0,0,45,5,1,0,0,3.863
CDS 450,450,640,0,233,95,64,100,43,32,32,13,9,9,4,6,328,207,77,22,6,3.272
CDS 451,451,231,0,65,52,34,30,26,11,8,5,0,0,0,0,117,90,24,0,0,3.353
CDS 455,455,411,0,273,21,33,45,6,5,11,3,1,5,2,6,294,84,19,8,6,3.591
CDS 457,457,673,13,409,77,71,47,20,13,8,1,0,4,0,10,499,138,22,4,10,3.646
CDS 458,458,254,0,195,23,14,9,2,2,2,5,1,0,0,1,218,25,9,1,1,3.788
CDS 459,459,55,0,15,13,16,8,2,1,0,0,0,0,0,0,28,26,1,0,0,3.502
CDS 460,460,489,0,290,65,31,61,17,5,13,1,1,4,0,1,355,109,19,5,1,3.632
CDS 462,462,512,28,159,100,75,67,35,20,16,4,2,3,0,3,287,177,40,5,3,3.421
CDS 470,470,537,0,131,77,63,89,49,36,46,32,0,9,0,5,208,201,114,9,5,3.081
CDS 607,607,24,0,13,11,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,3.863
CDS 608,608,110,2,67,23,15,3,0,0,0,0,0,0,0,0,92,18,0,0,0,3.815
CDS 610,610,123,13,68,23,6,12,1,0,0,0,0,0,0,0,104,19,0,0,0,3.802
CDS 627,627,197,8,112,56,8,11,2,0,0,0,0,0,0,0,176,21,0,0,0,3.817
CDS 631,631,133,28,80,15,5,4,1,0,0,0,0,0,0,0,123,10,0,0,0,3.9
CDS 632,632,18,0,8,3,1,5,0,0,0,0,0,1,0,0,11,6,0,1,0,3.467
CDS 649,649,156,0,103,30,7,15,1,0,0,0,0,0,0,0,133,23,0,0,0,3.806
CDS 651,651,291,0,59,81,63,48,29,9,1,1,0,0,0,0,140,140,11,0,0,3.403
CDS 652,652,319,0,141,86,54,26,11,0,0,0,0,0,0,1,227,91,0,0,1,3.662
CDS 654,654,286,0,130,74,48,30,4,0,0,0,0,0,0,0,204,82,0,0,0,3.682
CDS 656,656,266,0,162,28,11,60,2,0,3,0,0,0,0,0,190,73,3,0,0,3.682
CDS 660,660,192,0,108,21,15,40,4,0,3,0,0,0,0,1,129,59,3,0,1,3.625
CDS 663,663,319,5,84,124,66,17,14,7,1,1,0,0,0,0,213,97,9,0,0,3.577
CDS 665,665,339,4,212,40,31,45,4,0,1,0,0,0,0,2,256,80,1,0,2,3.723
CFT 410,410,69,18,13,16,7,7,5,1,2,0,0,0,0,0,47,19,3,0,0,3.581
CFT 412,412,93,61,17,5,3,2,2,0,0,0,0,0,0,3,83,7,0,0,3,3.783
CFT 610,610,25,15,8,1,1,0,0,0,0,0,0,0,0,0,24,1,0,0,0,3.96
CFT 612,612,40,18,21,1,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,3.992
CFT 614,614,88,22,56,4,2,4,0,0,0,0,0,0,0,0,82,6,0,0,0,3.925
CFT 615,615,42,27,11,4,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,3.971
CFT 620,620,164,43,101,16,3,1,0,0,0,0,0,0,0,0,160,4,0,0,0,3.952
CFT 622,622,45,16,19,8,1,0,1,0,0,0,0,0,0,0,43,2,0,0,0,3.902
CFT 624,624,32,17,8,6,0,0,1,0,0,0,0,0,0,0,31,1,0,0,0,3.903
CFT 625,625,46,31,12,3,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,3.98
CFT 626,626,108,65,19,12,3,5,3,0,1,0,0,0,0,0,96,11,1,0,0,3.846
CFT 627,627,107,47,39,11,6,3,1,0,0,0,0,0,0,0,97,10,0,0,0,3.89
CFT 628,628,91,68,20,2,0,1,0,0,0,0,0,0,0,0,90,1,0,0,0,3.982
CFT 629,629,63,39,16,4,1,3,0,0,0,0,0,0,0,0,59,4,0,0,0,3.922
CFT 630,630,87,65,15,5,0,1,1,0,0,0,0,0,0,0,85,2,0,0,0,3.956
CFT 632,632,133,92,31,9,1,0,0,0,0,0,0,0,0,0,132,1,0,0,0,3.974
CH 111,111,4445,162,800,441,536,762,435,327,394,239,95,101,33,120,1403,1733,960,229,120,2.903
CH 113,113,341,0,88,22,17,115,29,17,42,1,0,3,0,7,110,161,60,3,7,3.052
CH 114,114,262,4,110,3,11,104,3,2,23,0,0,2,0,0,117,118,25,2,0,3.344
CH 140M,140M,43,1,4,1,5,13,5,8,2,2,1,0,0,1,6,23,12,1,1,2.786
CH 221,221,8597,99,988,668,850,1428,786,822,1300,578,316,259,101,402,1755,3064,2700,676,402,2.587
CH 222,222,7314,93,703,571,757,1290,738,713,1298,497,163,217,75,199,1367,2785,2508,455,199,2.628
CH 223,223,6004,63,697,541,543,905,664,685,999,377,110,225,13,182,1301,2112,2061,348,182,2.654
CH 224H,224H,431,18,126,39,50,95,9,19,39,9,0,13,0,14,183,154,67,13,14,3.12
CH 225H,225H,307,17,89,40,44,56,34,18,5,1,1,1,0,1,146,134,24,2,1,3.363
CH 226H,226H,295,59,64,39,47,42,21,2,13,5,0,1,0,2,162,110,20,1,2,3.438
CH 227,227,7407,96,1263,1060,1129,1298,670,568,600,288,86,115,36,198,2419,3097,1456,237,198,2.975
CH 228,228,6035,69,1253,963,978,935,659,426,382,174,42,56,12,86,2285,2572,982,110,86,3.119
CH 229,229,4954,85,1165,674,737,817,539,355,299,135,22,59,11,56,1924,2093,789,92,56,3.143
CH 237,237,289,14,63,59,38,40,26,11,16,6,2,3,1,10,136,104,33,6,10,3.169
CH 238,238,231,10,56,38,38,35,25,11,11,6,0,0,0,1,104,98,28,0,1,3.29
CH 239,239,150,12,38,26,21,26,7,9,5,5,0,0,0,1,76,54,19,0,1,3.344
CH 331,331,3376,60,578,319,265,648,323,259,482,245,13,79,7,98,957,1236,986,99,98,2.814
CH 335,335,2642,67,309,277,279,362,315,284,309,204,69,66,17,84,653,956,797,152,84,2.714
CH 336,336,2055,130,478,217,169,394,156,103,237,100,7,22,12,30,825,719,440,41,30,3.074
CH 337,337,2890,71,867,543,297,578,180,96,151,42,3,35,4,23,1481,1055,289,42,23,3.321
CH 338,338,1867,40,526,307,200,369,147,83,122,34,3,26,1,9,873,716,239,30,9,3.26
